======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1829

⚠️ Locus_tags DUPLICADOS encontrados: 211

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1407
   - ACYTXH_07840: bgc=, size=44aa
   - ACYTXH_07860: bgc=, size=58aa
   - ACYTXH_07865: bgc=, size=107aa
   - ACYTXH_07885: bgc=, size=744aa
   - ACYTXH_07900: bgc=, size=89aa
   - ACYTXH_07915: bgc=, size=122aa
   - ACYTXH_07920: bgc=, size=46aa
   - ACYTXH_07945: bgc=, size=87aa
   - ACYTXH_07960: bgc=, size=147aa
   - ACYTXH_07965: bgc=, size=218aa
   - ACYTXH_07980: bgc=, size=151aa
   - ACYTXH_08010: bgc=, size=176aa
   - ACYTXH_08035: bgc=, size=355aa
   - ACYTXH_08075: bgc=, size=121aa
   - ACYTXH_08100: bgc=, size=78aa
   - ACYTXH_08120: bgc=, size=60aa
   - ACYTXH_08165: bgc=, size=31aa
   - ACYTXH_08175: bgc=, size=82aa
   - ACYTXH_08195: bgc=, size=54aa
   - ACYTXH_08200: bgc=, size=157aa
   - ACYTXH_08310: bgc=, size=49aa
   - ACYTXH_08375: bgc=, size=120aa
   - ACYTXH_08430: bgc=, size=94aa
   - ACYTXH_08440: bgc=, size=70aa
   - ACYTXH_08450: bgc=, size=136aa
   - ACYTXH_08455: bgc=, size=457aa
   - ACYTXH_08685: bgc=terpene, size=70aa
   - ACYTXH_08715: bgc=, size=303aa
   - ACYTXH_08770: bgc=, size=53aa
   - ACYTXH_08815: bgc=, size=41aa
   - ACYTXH_08820: bgc=, size=100aa
   - ACYTXH_08870: bgc=, size=546aa
   - ACYTXH_08880: bgc=, size=126aa
   - ACYTXH_08885: bgc=, size=185aa
   - ACYTXH_08895: bgc=, size=120aa
   - ACYTXH_08910: bgc=, size=49aa
   - ACYTXH_08915: bgc=, size=295aa
   - ACYTXH_08935: bgc=, size=72aa
   - ACYTXH_08960: bgc=, size=72aa
   - ACYTXH_08990: bgc=, size=74aa
   - ACYTXH_09145: bgc=, size=610aa
   - ACYTXH_09160: bgc=, size=57aa
   - ACYTXH_09275: bgc=, size=111aa
   - ACYTXH_09295: bgc=, size=80aa
   - ACYTXH_09310: bgc=, size=239aa
   - ACYTXH_09375: bgc=, size=88aa
   - ACYTXH_09390: bgc=, size=57aa
   - ACYTXH_09410: bgc=, size=155aa
   - ACYTXH_09430: bgc=, size=294aa
   - ACYTXH_09440: bgc=, size=49aa
   - ACYTXH_09485: bgc=, size=72aa
   - ACYTXH_09500: bgc=, size=125aa
   - ACYTXH_09525: bgc=, size=129aa
   - ACYTXH_09550: bgc=, size=50aa
   - ACYTXH_09610: bgc=, size=143aa
   - ACYTXH_09615: bgc=, size=1112aa
   - ACYTXH_09630: bgc=, size=237aa
   - ACYTXH_09655: bgc=, size=2aa
   - ACYTXH_09665: bgc=, size=282aa
   - ACYTXH_09670: bgc=, size=193aa
   - ACYTXH_09675: bgc=, size=87aa
   - ACYTXH_09680: bgc=, size=150aa
   - ACYTXH_09685: bgc=, size=110aa
   - ACYTXH_09690: bgc=, size=54aa
   - ACYTXH_09695: bgc=, size=134aa
   - ACYTXH_09700: bgc=, size=72aa
   - ACYTXH_09705: bgc=, size=90aa
   - ACYTXH_09755: bgc=, size=97aa
   - ACYTXH_09800: bgc=, size=510aa
   - ACYTXH_09810: bgc=, size=77aa
   - ACYTXH_09820: bgc=, size=107aa
   - ACYTXH_09845: bgc=, size=200aa
   - ACYTXH_09885: bgc=, size=125aa
   - ACYTXH_09935: bgc=, size=194aa
   - ACYTXH_09980: bgc=, size=133aa
   - ACYTXH_09990: bgc=, size=49aa
   - ACYTXH_10140: bgc=, size=79aa
   - ACYTXH_10165: bgc=, size=66aa
   - ACYTXH_10175: bgc=, size=152aa
   - ACYTXH_10380: bgc=, size=129aa
   - ACYTXH_10400: bgc=, size=142aa
   - ACYTXH_10435: bgc=, size=92aa
   - ACYTXH_10525: bgc=, size=108aa
   - ACYTXH_10545: bgc=, size=97aa
   - ACYTXH_10550: bgc=, size=220aa
   - ACYTXH_10570: bgc=, size=104aa
   - ACYTXH_10575: bgc=, size=176aa
   - ACYTXH_10595: bgc=, size=163aa
   - ACYTXH_10605: bgc=, size=297aa
   - ACYTXH_10615: bgc=, size=142aa
   - ACYTXH_10660: bgc=, size=91aa
   - ACYTXH_10755: bgc=, size=225aa
   - ACYTXH_10765: bgc=, size=49aa
   - ACYTXH_10815: bgc=, size=189aa
   - ACYTXH_10820: bgc=, size=70aa
