======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1432

✅ Nenhum locus_tag duplicado encontrado

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1432
   - FWK04_04685: bgc=SEM_BGC, size=296aa
   - FWK04_04710: bgc=SEM_BGC, size=136aa
   - FWK04_04720: bgc=SEM_BGC, size=79aa
   - FWK04_04730: bgc=SEM_BGC, size=91aa
   - FWK04_04735: bgc=SEM_BGC, size=91aa
   - FWK04_04810: bgc=SEM_BGC, size=85aa
   - FWK04_04835: bgc=SEM_BGC, size=130aa
   - FWK04_04845: bgc=SEM_BGC, size=56aa
   - FWK04_04850: bgc=SEM_BGC, size=97aa
   - FWK04_04920: bgc=SEM_BGC, size=128aa
   - FWK04_04940: bgc=SEM_BGC, size=92aa
   - FWK04_04950: bgc=SEM_BGC, size=70aa
   - FWK04_04970: bgc=SEM_BGC, size=70aa
   - FWK04_04975: bgc=SEM_BGC, size=824aa
   - FWK04_04980: bgc=SEM_BGC, size=106aa
   - FWK04_05005: bgc=SEM_BGC, size=389aa
   - FWK04_05060: bgc=SEM_BGC, size=60aa
   - FWK04_05100: bgc=SEM_BGC, size=65aa
   - FWK04_05160: bgc=SEM_BGC, size=1299aa
   - FWK04_05180: bgc=SEM_BGC, size=124aa
   - FWK04_05190: bgc=SEM_BGC, size=92aa
   - FWK04_05215: bgc=SEM_BGC, size=239aa
   - FWK04_05225: bgc=SEM_BGC, size=61aa
   - FWK04_05245: bgc=SEM_BGC, size=97aa
   - FWK04_05250: bgc=SEM_BGC, size=154aa
   - FWK04_05260: bgc=SEM_BGC, size=87aa
   - FWK04_05265: bgc=SEM_BGC, size=76aa
   - FWK04_05280: bgc=SEM_BGC, size=124aa
   - FWK04_05285: bgc=SEM_BGC, size=280aa
   - FWK04_05290: bgc=SEM_BGC, size=77aa
   - FWK04_05305: bgc=SEM_BGC, size=64aa
   - FWK04_05340: bgc=SEM_BGC, size=67aa
   - FWK04_05355: bgc=SEM_BGC, size=78aa
   - FWK04_05385: bgc=SEM_BGC, size=326aa
   - FWK04_05495: bgc=transAT-PKS, T3PKS, PKS-like, T1PKS, size=66aa
   - FWK04_05505: bgc=transAT-PKS, T3PKS, PKS-like, T1PKS, size=75aa
   - FWK04_05510: bgc=transAT-PKS, T3PKS, PKS-like, T1PKS, size=98aa
   - FWK04_05520: bgc=transAT-PKS, T3PKS, PKS-like, T1PKS, size=81aa
   - FWK04_05630: bgc=SEM_BGC, size=68aa
   - FWK04_05670: bgc=SEM_BGC, size=35aa
   - FWK04_05720: bgc=SEM_BGC, size=102aa
   - FWK04_05780: bgc=SEM_BGC, size=120aa
   - FWK04_05840: bgc=SEM_BGC, size=78aa
   - FWK04_05860: bgc=SEM_BGC, size=149aa
   - FWK04_05880: bgc=SEM_BGC, size=215aa
   - FWK04_05895: bgc=SEM_BGC, size=99aa
   - FWK04_05905: bgc=SEM_BGC, size=94aa
   - FWK04_06020: bgc=SEM_BGC, size=96aa
   - FWK04_06045: bgc=SEM_BGC, size=78aa
   - FWK04_06125: bgc=SEM_BGC, size=715aa
   - FWK04_06150: bgc=SEM_BGC, size=300aa
   - FWK04_06155: bgc=SEM_BGC, size=63aa
   - FWK04_06170: bgc=SEM_BGC, size=105aa
   - FWK04_06175: bgc=SEM_BGC, size=178aa
   - FWK04_06180: bgc=SEM_BGC, size=188aa
   - FWK04_06190: bgc=SEM_BGC, size=83aa
   - FWK04_06245: bgc=SEM_BGC, size=229aa
   - FWK04_06255: bgc=SEM_BGC, size=104aa
   - FWK04_06260: bgc=SEM_BGC, size=86aa
   - FWK04_06275: bgc=SEM_BGC, size=242aa
   - FWK04_06335: bgc=SEM_BGC, size=298aa
   - FWK04_06355: bgc=SEM_BGC, size=296aa
   - FWK04_06365: bgc=SEM_BGC, size=452aa
   - FWK04_06375: bgc=hglE-KS, size=454aa
   - FWK04_06390: bgc=hglE-KS, size=160aa
   - FWK04_06425: bgc=hglE-KS, size=432aa
   - FWK04_06445: bgc=hglE-KS, size=90aa
   - FWK04_06450: bgc=hglE-KS, size=107aa
   - FWK04_06470: bgc=hglE-KS, size=62aa
   - FWK04_06475: bgc=hglE-KS, size=250aa
   - FWK04_06495: bgc=hglE-KS, size=255aa
   - FWK04_06505: bgc=hglE-KS, size=118aa
   - FWK04_06510: bgc=hglE-KS, size=247aa
   - FWK04_06535: bgc=SEM_BGC, size=106aa
   - FWK04_06540: bgc=SEM_BGC, size=76aa
   - FWK04_06565: bgc=SEM_BGC, size=167aa
   - FWK04_06575: bgc=SEM_BGC, size=73aa
   - FWK04_06585: bgc=SEM_BGC, size=763aa
   - FWK04_06590: bgc=SEM_BGC, size=478aa
   - FWK04_06595: bgc=SEM_BGC, size=476aa
   - FWK04_06600: bgc=SEM_BGC, size=78aa
   - FWK04_06615: bgc=SEM_BGC, size=74aa
   - FWK04_06685: bgc=SEM_BGC, size=201aa
   - FWK04_06710: bgc=SEM_BGC, size=405aa
   - FWK04_06745: bgc=SEM_BGC, size=207aa
   - FWK04_06755: bgc=SEM_BGC, size=65aa
   - FWK04_06765: bgc=SEM_BGC, size=141aa
   - FWK04_06830: bgc=NRPS-like, size=371aa
   - FWK04_06840: bgc=NRPS-like, size=82aa
   - FWK04_06850: bgc=NRPS-like, size=133aa
   - FWK04_06865: bgc=NRPS-like, size=88aa
   - FWK04_06870: bgc=NRPS-like, size=160aa
   - FWK04_06875: bgc=NRPS-like, size=159aa
   - FWK04_06890: bgc=NRPS-like, size=77aa
   - FWK04_06920: bgc=NRPS-like, size=150aa
   - FWK04_07005: bgc=SEM_BGC, size=94aa
   - FWK04_07040: bgc=SEM_BGC, size=548aa
   - FWK04_07095: bgc=SEM_BGC, size=110aa
   - FWK04_07115: bgc=SEM_BGC, size=168aa
   - FWK04_07120: bgc=SEM_BGC, size=73aa
   - FWK04_07130: bgc=SEM_BGC, size=178aa
   - FWK04_07230: bgc=SEM_BGC, size=98aa
   - FWK04_07240: bgc=SEM_BGC, size=134aa
   - FWK04_07255: bgc=SEM_BGC, size=370aa
   - FWK04_07280: bgc=NRPS, size=77aa
   - FWK04_07305: bgc=NRPS, size=168aa
   - FWK04_07330: bgc=NRPS, size=97aa
   - FWK04_07340: bgc=NRPS, size=59aa
   - FWK04_07360: bgc=NRPS, size=96aa
   - FWK04_07365: bgc=NRPS, size=180aa
   - FWK04_07425: bgc=NRPS, size=669aa
   - FWK04_07475: bgc=SEM_BGC, size=60aa
   - FWK04_07480: bgc=SEM_BGC, size=94aa
   - FWK04_07530: bgc=SEM_BGC, size=223aa
   - FWK04_07610: bgc=SEM_BGC, size=80aa
   - FWK04_07635: bgc=SEM_BGC, size=265aa
   - FWK04_07650: bgc=SEM_BGC, size=81aa
   - FWK04_07655: bgc=SEM_BGC, size=93aa
   - FWK04_07715: bgc=SEM_BGC, size=133aa
   - FWK04_07720: bgc=SEM_BGC, size=61aa
   - FWK04_07740: bgc=SEM_BGC, size=335aa
   - FWK04_07765: bgc=SEM_BGC, size=389aa
   - FWK04_07800: bgc=SEM_BGC, size=6aa
   - FWK04_07835: bgc=SEM_BGC, size=155aa
   - FWK04_07910: bgc=SEM_BGC, size=108aa
   - FWK04_07920: bgc=SEM_BGC, size=106aa
   - FWK04_07930: bgc=SEM_BGC, size=343aa
   - FWK04_07945: bgc=SEM_BGC, size=207aa
   - FWK04_07950: bgc=SEM_BGC, size=1346aa
   - FWK04_07965: bgc=SEM_BGC, size=78aa
   - FWK04_08015: bgc=SEM_BGC, size=62aa
   - FWK04_08020: bgc=SEM_BGC, size=463aa
   - FWK04_08025: bgc=SEM_BGC, size=74aa
   - FWK04_08065: bgc=SEM_BGC, size=193aa
   - FWK04_08075: bgc=SEM_BGC, size=372aa
   - FWK04_08090: bgc=SEM_BGC, size=73aa
   - FWK04_08095: bgc=SEM_BGC, size=601aa
   - FWK04_08165: bgc=SEM_BGC, size=148aa
   - FWK04_08230: bgc=SEM_BGC, size=214aa
   - FWK04_08240: bgc=SEM_BGC, size=124aa
   - FWK04_08245: bgc=SEM_BGC, size=94aa
   - FWK04_08310: bgc=SEM_BGC, size=289aa
   - FWK04_08345: bgc=SEM_BGC, size=370aa
   - FWK04_08370: bgc=SEM_BGC, size=191aa
   - FWK04_08380: bgc=SEM_BGC, size=524aa
   - FWK04_08450: bgc=SEM_BGC, size=103aa
   - FWK04_08475: bgc=SEM_BGC, size=106aa
   - FWK04_08490: bgc=SEM_BGC, size=353aa
   - FWK04_08510: bgc=SEM_BGC, size=201aa
   - FWK04_08515: bgc=SEM_BGC, size=412aa
   - FWK04_08535: bgc=SEM_BGC, size=61aa
   - FWK04_08540: bgc=SEM_BGC, size=113aa
   - FWK04_08550: bgc=SEM_BGC, size=94aa
   - FWK04_08555: bgc=SEM_BGC, size=97aa
   - FWK04_08560: bgc=SEM_BGC, size=86aa
   - FWK04_08565: bgc=SEM_BGC, size=126aa
   - FWK04_08570: bgc=SEM_BGC, size=75aa
   - FWK04_08575: bgc=SEM_BGC, size=108aa
   - FWK04_08580: bgc=SEM_BGC, size=129aa
   - FWK04_08585: bgc=SEM_BGC, size=83aa
   - FWK04_08590: bgc=SEM_BGC, size=118aa
   - FWK04_08600: bgc=SEM_BGC, size=78aa
   - FWK04_08605: bgc=SEM_BGC, size=71aa
   - FWK04_08610: bgc=SEM_BGC, size=154aa
   - FWK04_08615: bgc=SEM_BGC, size=224aa
   - FWK04_08620: bgc=SEM_BGC, size=489aa
   - FWK04_08625: bgc=SEM_BGC, size=64aa
   - FWK04_08630: bgc=SEM_BGC, size=124aa
   - FWK04_08635: bgc=SEM_BGC, size=188aa
   - FWK04_08640: bgc=SEM_BGC, size=270aa
   - FWK04_08645: bgc=SEM_BGC, size=664aa
   - FWK04_08650: bgc=SEM_BGC, size=81aa
   - FWK04_08655: bgc=SEM_BGC, size=225aa
   - FWK04_08660: bgc=SEM_BGC, size=225aa
   - FWK04_08665: bgc=SEM_BGC, size=83aa
   - FWK04_08670: bgc=SEM_BGC, size=131aa
   - FWK04_08675: bgc=SEM_BGC, size=523aa
   - FWK04_08680: bgc=SEM_BGC, size=132aa
   - FWK04_08685: bgc=SEM_BGC, size=185aa
   - FWK04_08690: bgc=SEM_BGC, size=86aa
   - FWK04_08695: bgc=SEM_BGC, size=60aa
   - FWK04_08700: bgc=SEM_BGC, size=68aa
   - FWK04_08710: bgc=SEM_BGC, size=84aa
   - FWK04_08715: bgc=SEM_BGC, size=430aa
   - FWK04_08720: bgc=SEM_BGC, size=82aa
   - FWK04_08740: bgc=SEM_BGC, size=43aa
   - FWK04_08750: bgc=SEM_BGC, size=55aa
   - FWK04_08770: bgc=SEM_BGC, size=166aa
   - FWK04_08780: bgc=SEM_BGC, size=152aa
   - FWK04_08890: bgc=SEM_BGC, size=61aa
   - FWK04_08920: bgc=SEM_BGC, size=584aa
   - FWK04_08930: bgc=SEM_BGC, size=195aa
   - FWK04_09060: bgc=SEM_BGC, size=66aa
   - FWK04_09070: bgc=SEM_BGC, size=121aa
   - FWK04_09090: bgc=SEM_BGC, size=62aa
   - FWK04_09120: bgc=SEM_BGC, size=185aa
